"月份","能源类型","用量","单位","组织","地点","部门","设备","备注"
"2025-01","电力","10","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0001","多记录删除子查询路径验证"
"2025-02","电力","11","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0002","多记录删除子查询路径验证"
"2025-03","电力","12","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0003","多记录删除子查询路径验证"
"2025-04","电力","13","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0004","多记录删除子查询路径验证"
"2025-05","电力","14","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0005","多记录删除子查询路径验证"
"2025-06","电力","15","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0006","多记录删除子查询路径验证"
"2025-07","电力","16","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0007","多记录删除子查询路径验证"
"2025-08","电力","17","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0008","多记录删除子查询路径验证"
"2025-09","电力","18","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0009","多记录删除子查询路径验证"
"2025-10","电力","19","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0010","多记录删除子查询路径验证"
"2025-11","电力","20","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0011","多记录删除子查询路径验证"
"2025-12","电力","21","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0012","多记录删除子查询路径验证"
"2025-01","电力","22","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0013","多记录删除子查询路径验证"
"2025-02","电力","23","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0014","多记录删除子查询路径验证"
"2025-03","电力","24","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0015","多记录删除子查询路径验证"
"2025-04","电力","25","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0016","多记录删除子查询路径验证"
"2025-05","电力","26","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0017","多记录删除子查询路径验证"
"2025-06","电力","27","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0018","多记录删除子查询路径验证"
"2025-07","电力","28","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0019","多记录删除子查询路径验证"
"2025-08","电力","29","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0020","多记录删除子查询路径验证"
"2025-09","电力","30","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0021","多记录删除子查询路径验证"
"2025-10","电力","31","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0022","多记录删除子查询路径验证"
"2025-11","电力","32","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0023","多记录删除子查询路径验证"
"2025-12","电力","33","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0024","多记录删除子查询路径验证"
"2025-01","电力","34","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0025","多记录删除子查询路径验证"
"2025-02","电力","35","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0026","多记录删除子查询路径验证"
"2025-03","电力","36","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0027","多记录删除子查询路径验证"
"2025-04","电力","37","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0028","多记录删除子查询路径验证"
"2025-05","电力","38","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0029","多记录删除子查询路径验证"
"2025-06","电力","39","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0030","多记录删除子查询路径验证"
"2025-07","电力","40","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0031","多记录删除子查询路径验证"
"2025-08","电力","41","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0032","多记录删除子查询路径验证"
"2025-09","电力","42","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0033","多记录删除子查询路径验证"
"2025-10","电力","43","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0034","多记录删除子查询路径验证"
"2025-11","电力","44","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0035","多记录删除子查询路径验证"
"2025-12","电力","45","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0036","多记录删除子查询路径验证"
"2025-01","电力","46","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0037","多记录删除子查询路径验证"
"2025-02","电力","47","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0038","多记录删除子查询路径验证"
"2025-03","电力","48","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0039","多记录删除子查询路径验证"
"2025-04","电力","49","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0040","多记录删除子查询路径验证"
"2025-05","电力","50","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0041","多记录删除子查询路径验证"
"2025-06","电力","51","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0042","多记录删除子查询路径验证"
"2025-07","电力","52","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0043","多记录删除子查询路径验证"
"2025-08","电力","53","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0044","多记录删除子查询路径验证"
"2025-09","电力","54","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0045","多记录删除子查询路径验证"
"2025-10","电力","55","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0046","多记录删除子查询路径验证"
"2025-11","电力","56","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0047","多记录删除子查询路径验证"
"2025-12","电力","57","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0048","多记录删除子查询路径验证"
"2025-01","电力","58","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0049","多记录删除子查询路径验证"
"2025-02","电力","59","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0050","多记录删除子查询路径验证"
"2025-03","电力","60","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0051","多记录删除子查询路径验证"
"2025-04","电力","61","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0052","多记录删除子查询路径验证"
"2025-05","电力","62","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0053","多记录删除子查询路径验证"
"2025-06","电力","63","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0054","多记录删除子查询路径验证"
"2025-07","电力","64","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0055","多记录删除子查询路径验证"
"2025-08","电力","65","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0056","多记录删除子查询路径验证"
"2025-09","电力","66","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0057","多记录删除子查询路径验证"
